"CONFIG_ID","SPECIES_SYMBOL","SPECIES_NUM","CF_MIN_DBH","CF_VOL_EQ","CF_VOL_SP","COEF_TABLE","COEF_TBL_SP"
"S27LAK1C","ABAM",11,5,"CU000119","PISI","PNW_coefs_18",98
"S27LAK1C","ABLA",19,5,"CU000119","PISI","PNW_coefs_18",98
"S27LAK1C","CHNO",42,5,"CU042001","CHNO","PNW_coefs_19",42
"S27LAK1C","LALA",71,5,"CU000119","TSHE","PNW_coefs_18",263
"S27LAK1C","PIGL",94,5,"CU000106","PIGL","PNW_coefs_17",94
"S27LAK1C","PIMA",95,5,"CU000106","PIMA","PNW_coefs_17",95
"S27LAK1C","PISI",98,5,"CU000119","PISI","PNW_coefs_18",98
"S27LAK1C","PICO",108,5,"CU000087","PICO","PNW_coefs_2",108
"S27LAK1C","TABR2",231,5,"CU000119","PISI","PNW_coefs_18",98
"S27LAK1C","THPL",242,5,"CU242001","THPL","PNW_coefs_20",242
"S27LAK1C","TSHE",263,5,"CU000119","TSHE","PNW_coefs_18",263
"S27LAK1C","TSME",264,5,"CU000119","TSHE","PNW_coefs_18",263
"S27LAK1C","ACER",310,5,"CU000087","ACMA3","PNW_coefs_2",312
"S27LAK1C","ALRU2",351,5,"CU000087","ALRU2","PNW_coefs_2",351
"S27LAK1C","BEPA",375,5,"CU000106","BEPA","PNW_coefs_17",375
"S27LAK1C","MALUS",660,5,"CU000087","ACMA3","PNW_coefs_2",312
"S27LAK1C","MAFU",661,5,"CU000087","ACMA3","PNW_coefs_2",312
"S27LAK1C","POTR5",746,5,"CU000106","POTR5","PNW_coefs_17",746
"S27LAK1C","POBAT",747,5,"CU000106","POBAT","PNW_coefs_17",747
"S27LAK1C","SALIX",920,5,"CU000106","POTR5","PNW_coefs_17",746
"S27LAK1C","2TREE",999,5,"CU000119","TSHE","PNW_coefs_18",263
